Date,stock_symbol,pattern
2023-01-09,ACN,cup with handle
2023-01-10,ACN,cup with handle
2022-12-28,ADM,cup with handle
2022-12-29,ADM,cup with handle
2022-12-28,AAP,cup with handle
2022-12-29,AAP,cup with handle
2022-12-30,AAP,cup with handle
2023-01-03,AAP,cup with handle
2023-01-04,AAP,cup with handle
2023-01-05,AAP,cup with handle
2023-01-06,AAP,cup with handle
2023-01-09,AAP,cup with handle
2023-01-10,AAP,cup with handle
2023-01-06,AKAM,cup with handle
2023-01-09,AKAM,cup with handle
2023-01-10,AKAM,cup with handle
2023-01-04,ALK,cup with handle
2023-01-05,ALK,cup with handle
2023-01-06,ARE,cup with handle
2023-01-10,ARE,cup with handle
2022-12-13,ALGN,cup with handle
2022-12-14,ALGN,cup with handle
2023-01-05,ALLE,cup with handle
2023-01-09,AMZN,cup with handle
2023-01-10,AMZN,cup with handle
2023-01-09,AMD,cup with handle
2023-01-10,AMD,cup with handle
2023-01-04,AAL,cup with handle
2023-01-06,AXP,cup with handle
2023-01-09,AXP,cup with handle
2023-01-06,AMGN,cup with handle
2023-01-09,AMGN,cup with handle
2023-01-10,AMGN,cup with handle
2022-12-28,APA,cup with handle
2023-01-04,APTV,cup with handle
2023-01-05,APTV,cup with handle
2023-01-06,APTV,cup with handle
2023-01-09,APTV,cup with handle
2022-12-13,AIZ,cup with handle
2023-01-03,AIZ,cup with handle
2023-01-10,AIZ,cup with handle
2023-01-09,ADSK,cup with handle
2023-01-10,ADSK,cup with handle
2023-01-04,AZO,cup with handle
2023-01-09,AZO,cup with handle
2023-01-10,AZO,cup with handle
2023-01-05,BKR,cup with handle
2023-01-04,BALL,cup with handle
2022-12-29,BAC,cup with handle
2022-12-30,BAC,cup with handle
2023-01-03,BAC,cup with handle
2023-01-04,BAC,cup with handle
2023-01-05,BAC,cup with handle
2023-01-06,BAC,cup with handle
2023-01-09,BAC,cup with handle
2023-01-10,BAC,cup with handle
2023-01-04,BAX,cup with handle
2023-01-05,BAX,cup with handle
2023-01-09,WRB,cup with handle
2023-01-10,WRB,cup with handle
2023-01-10,BIIB,cup with handle
2022-12-14,BXP,cup with handle
2022-12-23,BXP,cup with handle
2022-12-27,BXP,cup with handle
2022-12-30,BXP,cup with handle
2023-01-10,BXP,cup with handle
2023-01-06,BR,cup with handle
2023-01-09,BR,cup with handle
2023-01-10,BR,cup with handle
2022-12-14,BRO,cup with handle
2022-12-29,BRO,cup with handle
2023-01-05,BRO,cup with handle
2023-01-09,CHRW,cup with handle
2023-01-10,CZR,cup with handle
2023-01-06,CPT,cup with handle
2023-01-09,CPT,cup with handle
2023-01-10,CPT,cup with handle
2022-12-30,COF,cup with handle
2023-01-03,COF,cup with handle
2023-01-04,COF,cup with handle
2023-01-05,COF,cup with handle
2023-01-06,COF,cup with handle
2023-01-09,COF,cup with handle
2023-01-05,KMX,cup with handle
2023-01-04,CCL,cup with handle
2023-01-05,CCL,cup with handle
2022-12-13,CTLT,cup with handle
2022-12-14,CTLT,cup with handle
2023-01-03,CTLT,cup with handle
2023-01-04,CTLT,cup with handle
2023-01-05,CTLT,cup with handle
2022-12-23,CRL,cup with handle
2022-12-27,CRL,cup with handle
2022-12-30,CRL,cup with handle
2023-01-03,CRL,cup with handle
2023-01-04,CRL,cup with handle
2023-01-05,CRL,cup with handle
2023-01-06,CRL,cup with handle
2023-01-04,CHTR,cup with handle
2022-12-28,CVX,cup with handle
2023-01-03,CVX,cup with handle
2023-01-05,CVX,cup with handle
2023-01-06,CVX,cup with handle
2023-01-09,CVX,cup with handle
2023-01-10,CVX,cup with handle
2023-01-09,CMG,cup with handle
2023-01-10,CMG,cup with handle
2022-12-29,C,cup with handle
2022-12-30,C,cup with handle
2023-01-03,C,cup with handle
2022-12-29,CFG,cup with handle
2022-12-30,CFG,cup with handle
2023-01-03,CFG,cup with handle
2023-01-03,CTSH,cup with handle
2023-01-04,CTSH,cup with handle
2023-01-05,CTSH,cup with handle
2022-12-29,CMA,cup with handle
2022-12-30,CMA,cup with handle
2023-01-03,CMA,cup with handle
2023-01-04,CMA,cup with handle
2023-01-05,CMA,cup with handle
2023-01-06,CMA,cup with handle
2023-01-09,CMA,cup with handle
2023-01-10,CMA,cup with handle
2022-12-23,COP,cup with handle
2022-12-27,COP,cup with handle
2022-12-28,COP,cup with handle
2022-12-29,COP,cup with handle
2022-12-30,COP,cup with handle
2023-01-05,COP,cup with handle
2023-01-06,COP,cup with handle
2023-01-09,COP,cup with handle
2023-01-10,COP,cup with handle
2023-01-10,CPRT,cup with handle
2023-01-06,CTVA,cup with handle
2023-01-09,CTVA,cup with handle
2023-01-10,CTVA,cup with handle
2023-01-06,COST,cup with handle
2023-01-09,COST,cup with handle
2023-01-10,COST,cup with handle
2022-12-27,CTRA,cup with handle
2023-01-09,CTRA,cup with handle
2023-01-10,CTRA,cup with handle
2022-12-30,CMI,cup with handle
2022-12-13,DVA,cup with handle
2022-12-14,DVA,cup with handle
2022-12-23,DVA,cup with handle
2022-12-27,DVA,cup with handle
2022-12-30,DVA,cup with handle
2022-12-27,DVN,cup with handle
2023-01-06,DVN,cup with handle
2023-01-09,DVN,cup with handle
2023-01-10,DVN,cup with handle
2022-12-30,FANG,cup with handle
2023-01-06,FANG,cup with handle
2023-01-09,FANG,cup with handle
2023-01-10,FANG,cup with handle
2023-01-04,DLR,cup with handle
2023-01-10,DLR,cup with handle
2023-01-04,DFS,cup with handle
2023-01-05,DFS,cup with handle
2023-01-04,DISH,cup with handle
2023-01-10,DISH,cup with handle
2023-01-04,DIS,cup with handle
2023-01-05,DIS,cup with handle
2023-01-06,DIS,cup with handle
2022-12-23,DG,cup with handle
2022-12-27,DG,cup with handle
2022-12-29,DG,cup with handle
2022-12-30,DG,cup with handle
2023-01-03,DG,cup with handle
2023-01-06,DG,cup with handle
2023-01-05,DLTR,cup with handle
2023-01-06,DLTR,cup with handle
2023-01-09,DLTR,cup with handle
2023-01-10,DLTR,cup with handle
2022-12-13,D,cup with handle
2022-12-21,D,cup with handle
2022-12-22,D,cup with handle
2022-12-23,D,cup with handle
2022-12-27,D,cup with handle
2022-12-28,D,cup with handle
2022-12-29,D,cup with handle
2022-12-30,D,cup with handle
2023-01-05,D,cup with handle
2023-01-03,DXC,cup with handle
2023-01-05,DXC,cup with handle
2023-01-03,EBAY,cup with handle
2023-01-03,ECL,cup with handle
2022-12-13,EW,cup with handle
2022-12-14,EW,cup with handle
2022-12-21,EW,cup with handle
2022-12-29,EW,cup with handle
2022-12-30,EW,cup with handle
2023-01-03,EW,cup with handle
2023-01-04,EA,cup with handle
2023-01-05,EA,cup with handle
2023-01-06,EA,cup with handle
2023-01-09,EA,cup with handle
2023-01-10,EA,cup with handle
2022-12-23,EOG,cup with handle
2022-12-27,EOG,cup with handle
2022-12-29,EOG,cup with handle
2022-12-30,EOG,cup with handle
2023-01-06,EOG,cup with handle
2023-01-09,EOG,cup with handle
2023-01-10,EOG,cup with handle
2022-12-15,ESS,cup with handle
2022-12-29,ESS,cup with handle
2023-01-04,EXPE,cup with handle
2023-01-05,EXPE,cup with handle
2023-01-06,EXPE,cup with handle
2023-01-09,EXPE,cup with handle
2022-12-13,EXR,cup with handle
2022-12-21,XOM,cup with handle
2022-12-28,XOM,cup with handle
2023-01-04,XOM,cup with handle
2023-01-05,XOM,cup with handle
2023-01-09,XOM,cup with handle
2023-01-10,FAST,cup with handle
2023-01-06,FRT,cup with handle
2022-12-29,FITB,cup with handle
2022-12-30,FITB,cup with handle
2023-01-03,FITB,cup with handle
2023-01-04,FITB,cup with handle
2023-01-05,FITB,cup with handle
2023-01-09,FITB,cup with handle
2023-01-05,FRC,cup with handle
2022-12-15,FIS,cup with handle
2022-12-16,FIS,cup with handle
2023-01-04,FLT,cup with handle
2023-01-06,FMC,cup with handle
2023-01-05,F,cup with handle
2023-01-06,F,cup with handle
2023-01-09,F,cup with handle
2023-01-10,F,cup with handle
2023-01-04,FTV,cup with handle
2022-12-14,GNRC,cup with handle
2022-12-28,GNRC,cup with handle
2022-12-29,GNRC,cup with handle
2022-12-30,GNRC,cup with handle
2023-01-03,GNRC,cup with handle
2023-01-04,GNRC,cup with handle
2023-01-05,GNRC,cup with handle
2023-01-06,GNRC,cup with handle
2023-01-06,GD,cup with handle
2023-01-10,GD,cup with handle
2023-01-06,GM,cup with handle
2023-01-09,GM,cup with handle
2023-01-10,GM,cup with handle
2022-12-29,GPN,cup with handle
2022-12-30,GPN,cup with handle
2023-01-03,GPN,cup with handle
2023-01-09,GS,cup with handle
2023-01-10,GS,cup with handle
2022-12-29,HAS,cup with handle
2022-12-30,HAS,cup with handle
2022-12-28,HES,cup with handle
2023-01-04,HES,cup with handle
2023-01-06,HLT,cup with handle
2023-01-10,HLT,cup with handle
2023-01-09,HRL,cup with handle
2023-01-10,HRL,cup with handle
2023-01-04,HBAN,cup with handle
2023-01-05,HBAN,cup with handle
2023-01-06,HBAN,cup with handle
2023-01-09,HBAN,cup with handle
2023-01-10,HBAN,cup with handle
2022-12-13,HII,cup with handle
2022-12-14,HII,cup with handle
2023-01-04,ILMN,cup with handle
2023-01-05,ILMN,cup with handle
2023-01-06,ILMN,cup with handle
2023-01-09,ILMN,cup with handle
2023-01-04,INTC,cup with handle
2023-01-05,INTC,cup with handle
2023-01-04,IQV,cup with handle
2023-01-05,IQV,cup with handle
2023-01-09,IQV,cup with handle
2023-01-09,JKHY,cup with handle
2023-01-10,JKHY,cup with handle
2022-12-29,KEY,cup with handle
2022-12-30,KEY,cup with handle
2023-01-03,KEY,cup with handle
2023-01-05,KEY,cup with handle
2023-01-06,KIM,cup with handle
2022-12-30,KMI,cup with handle
2023-01-03,KMI,cup with handle
2023-01-06,KR,cup with handle
2023-01-09,KR,cup with handle
2023-01-10,KR,cup with handle
2023-01-04,LNC,cup with handle
2023-01-05,LNC,cup with handle
2023-01-06,LNC,cup with handle
2023-01-10,LNC,cup with handle
2022-12-13,LYV,cup with handle
2022-12-14,LYV,cup with handle
2023-01-04,LYV,cup with handle
2023-01-05,LYV,cup with handle
2022-12-13,LUMN,cup with handle
2022-12-14,LUMN,cup with handle
2023-01-03,LUMN,cup with handle
2023-01-04,LUMN,cup with handle
2023-01-05,LUMN,cup with handle
2023-01-06,LUMN,cup with handle
2023-01-09,LUMN,cup with handle
2023-01-10,LUMN,cup with handle
2023-01-04,MTB,cup with handle
2023-01-05,MTB,cup with handle
2023-01-06,MTB,cup with handle
2023-01-09,MTB,cup with handle
2023-01-10,MTB,cup with handle
2023-01-09,MRO,cup with handle
2023-01-10,MRO,cup with handle
2022-12-23,MPC,cup with handle
2022-12-28,MPC,cup with handle
2023-01-05,MPC,cup with handle
2023-01-09,MPC,cup with handle
2023-01-06,MAR,cup with handle
2023-01-09,MAR,cup with handle
2023-01-10,MAR,cup with handle
2023-01-04,MLM,cup with handle
2023-01-05,MAS,cup with handle
2023-01-04,MTCH,cup with handle
2023-01-05,MTCH,cup with handle
2023-01-06,MTCH,cup with handle
2023-01-09,MTCH,cup with handle
2023-01-06,MCD,cup with handle
2023-01-10,MCD,cup with handle
2022-12-13,MDT,cup with handle
2023-01-03,MDT,cup with handle
2023-01-05,MDT,cup with handle
2023-01-10,MDT,cup with handle
2023-01-04,MET,cup with handle
2023-01-05,MET,cup with handle
2023-01-06,MET,cup with handle
2023-01-05,MGM,cup with handle
2023-01-04,MU,cup with handle
2023-01-05,MU,cup with handle
2022-12-15,MOH,cup with handle
2022-12-16,MOH,cup with handle
2023-01-06,MOS,cup with handle
2023-01-09,MOS,cup with handle
2023-01-09,MSCI,cup with handle
2023-01-09,NDAQ,cup with handle
2023-01-10,NDAQ,cup with handle
2023-01-04,NTAP,cup with handle
2023-01-05,NTAP,cup with handle
2023-01-06,NTAP,cup with handle
2023-01-09,NTAP,cup with handle
2023-01-10,NTAP,cup with handle
2022-12-14,NWL,cup with handle
2022-12-15,NWL,cup with handle
2022-12-29,NWL,cup with handle
2022-12-30,NWL,cup with handle
2023-01-09,NCLH,cup with handle
2023-01-10,NCLH,cup with handle
2023-01-06,NRG,cup with handle
2023-01-09,NRG,cup with handle
2023-01-10,NRG,cup with handle
2023-01-06,OXY,cup with handle
2023-01-09,OXY,cup with handle
2023-01-10,OXY,cup with handle
2023-01-09,ON,cup with handle
2023-01-10,ON,cup with handle
2023-01-06,PCAR,cup with handle
2023-01-10,PCAR,cup with handle
2022-12-29,PH,cup with handle
2023-01-03,PH,cup with handle
2023-01-06,PAYX,cup with handle
2023-01-09,PAYX,cup with handle
2023-01-10,PAYX,cup with handle
2022-12-30,PYPL,cup with handle
2023-01-03,PYPL,cup with handle
2023-01-04,PYPL,cup with handle
2023-01-05,PYPL,cup with handle
2023-01-06,PYPL,cup with handle
2023-01-09,PYPL,cup with handle
2022-12-23,PSX,cup with handle
2022-12-29,PSX,cup with handle
2022-12-30,PSX,cup with handle
2023-01-05,PSX,cup with handle
2022-12-23,PXD,cup with handle
2022-12-27,PXD,cup with handle
2022-12-29,PXD,cup with handle
2022-12-30,PXD,cup with handle
2023-01-05,PXD,cup with handle
2023-01-06,PXD,cup with handle
2023-01-09,PXD,cup with handle
2023-01-10,PXD,cup with handle
2022-12-27,PNC,cup with handle
2022-12-28,PNC,cup with handle
2022-12-29,PNC,cup with handle
2022-12-30,PNC,cup with handle
2023-01-06,POOL,cup with handle
2023-01-06,PFG,cup with handle
2023-01-09,PFG,cup with handle
2023-01-10,PFG,cup with handle
2023-01-04,PRU,cup with handle
2023-01-06,PRU,cup with handle
2023-01-06,PTC,cup with handle
2023-01-06,QCOM,cup with handle
2023-01-09,QCOM,cup with handle
2023-01-10,QCOM,cup with handle
2023-01-06,RJF,cup with handle
2023-01-09,RJF,cup with handle
2023-01-10,RJF,cup with handle
2023-01-06,REG,cup with handle
2023-01-06,REGN,cup with handle
2022-12-29,RF,cup with handle
2022-12-30,RF,cup with handle
2023-01-03,RF,cup with handle
2023-01-04,RF,cup with handle
2023-01-05,RF,cup with handle
2023-01-10,RF,cup with handle
2023-01-10,RMD,cup with handle
2022-12-13,RHI,cup with handle
2022-12-30,RHI,cup with handle
2023-01-03,RHI,cup with handle
2023-01-05,RHI,cup with handle
2023-01-10,RHI,cup with handle
2023-01-05,RCL,cup with handle
2022-12-29,CRM,cup with handle
2022-12-30,CRM,cup with handle
2023-01-03,CRM,cup with handle
2023-01-04,CRM,cup with handle
2023-01-05,CRM,cup with handle
2023-01-06,CRM,cup with handle
2023-01-03,SLB,cup with handle
2023-01-04,SLB,cup with handle
2022-12-29,STX,cup with handle
2022-12-30,STX,cup with handle
2023-01-04,NOW,cup with handle
2023-01-04,SBNY,cup with handle
2023-01-06,SBNY,cup with handle
2023-01-09,SBNY,cup with handle
2023-01-09,LUV,cup with handle
2023-01-10,LUV,cup with handle
2022-12-13,SIVB,cup with handle
2022-12-14,SIVB,cup with handle
2023-01-09,SYY,cup with handle
2023-01-10,SYY,cup with handle
2023-01-05,TMUS,cup with handle
2023-01-09,TROW,cup with handle
2022-12-13,TTWO,cup with handle
2022-12-14,TTWO,cup with handle
2022-12-30,TTWO,cup with handle
2023-01-03,TTWO,cup with handle
2023-01-03,TGT,cup with handle
2023-01-04,TGT,cup with handle
2023-01-05,TGT,cup with handle
2023-01-09,TGT,cup with handle
2023-01-10,TGT,cup with handle
2023-01-06,TEL,cup with handle
2023-01-09,TRMB,cup with handle
2023-01-10,TRMB,cup with handle
2022-12-29,TFC,cup with handle
2022-12-30,TFC,cup with handle
2023-01-03,TFC,cup with handle
2023-01-03,TSN,cup with handle
2023-01-04,TSN,cup with handle
2023-01-05,TSN,cup with handle
2023-01-04,UDR,cup with handle
2023-01-05,UAL,cup with handle
2022-12-23,VLO,cup with handle
2022-12-27,VLO,cup with handle
2022-12-28,VLO,cup with handle
2022-12-29,VLO,cup with handle
2022-12-30,VLO,cup with handle
2023-01-05,VLO,cup with handle
2023-01-06,VLO,cup with handle
2023-01-03,VFC,cup with handle
2023-01-09,WMT,cup with handle
2023-01-10,WMT,cup with handle
2023-01-04,WBD,cup with handle
2023-01-05,WBD,cup with handle
2023-01-04,WFC,cup with handle
2023-01-05,WFC,cup with handle
2023-01-06,WFC,cup with handle
2023-01-09,WFC,cup with handle
2023-01-10,WFC,cup with handle
2023-01-04,WDC,cup with handle
2023-01-09,WY,cup with handle
2023-01-10,GWW,cup with handle
2022-12-30,ZBRA,cup with handle
2022-12-23,ZION,cup with handle
2022-12-27,ZION,cup with handle
2022-12-29,ZION,cup with handle
2022-12-30,ZION,cup with handle
2023-01-03,ZION,cup with handle
2023-01-05,ZION,cup with handle
