fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-10-31,USD,37200000000,152813000000,115613000000,115613000000,2695000000,34505000000,None,34505000000,84000000,-500000000,84000000,584000000,151469000000,-3626000000,None,2755000000,-1462000000,336000000,584000000,-1767000000,-2684000000,2695000000,1877000000,-1798000000
2022-07-31,USD,37021000000,152859000000,115838000000,115838000000,6854000000,30167000000,None,30167000000,31000000,-448000000,31000000,479000000,151381000000,238000000,None,2699000000,6646000000,1497000000,479000000,5147000000,3753000000,6854000000,9824000000,5149000000
2022-04-30,USD,34722000000,141569000000,106847000000,106847000000,5318000000,29404000000,None,29404000000,36000000,-419000000,36000000,455000000,140288000000,-1998000000,None,2680000000,2852000000,798000000,455000000,2103000000,2322000000,5318000000,5532000000,2054000000
2022-01-31,USD,37349000000,152871000000,115522000000,115522000000,5887000000,31462000000,None,32027000000,47000000,-380000000,-41000000,339000000,151535000000,-725000000,None,2706000000,4711000000,1149000000,329000000,3633000000,3284000000,5887000000,7844000000,3562000000
2021-10-31,USD,35502000000,140525000000,105023000000,105023000000,5792000000,29710000000,None,29710000000,44000000,-442000000,44000000,486000000,136807000000,-1203000000,None,2650000000,4120000000,1015000000,2886000000,3132000000,2593000000,5792000000,7256000000,3105000000
2021-07-31,USD,35865000000,141048000000,105183000000,105183000000,7354000000,28511000000,None,28511000000,37000000,-478000000,37000000,515000000,139871000000,-953000000,None,2641000000,5835000000,1559000000,515000000,4364000000,4246000000,7354000000,8991000000,4276000000
2021-04-30,USD,35038000000,138310000000,103272000000,103272000000,6909000000,28129000000,None,28962000000,30000000,-536000000,30000000,566000000,136726000000,-2529000000,None,2661000000,3763000000,1033000000,566000000,2811000000,6550000000,6909000000,6990000000,2730000000
2021-01-31,USD,36818000000,152079000000,115261000000,115261000000,5487000000,31331000000,None,39287000000,30000000,-494000000,-11000000,483000000,143612000000,None,None,2819000000,-676000000,1415000000,483000000,-2008000000,759000000,5487000000,2667000000,-2091000000
2020-10-31,USD,34369000000,134708000000,100339000000,100339000000,5778000000,28591000000,None,28591000000,25000000,-516000000,25000000,541000000,133752000000,1853000000,None,2771000000,7049000000,1914000000,541000000,5201000000,6303000000,5778000000,10361000000,5135000000
2020-07-31,USD,35053000000,137742000000,102689000000,102689000000,6059000000,28994000000,None,28994000000,23000000,-635000000,23000000,658000000,136824000000,3222000000,None,2771000000,8683000000,2207000000,658000000,6439000000,6860000000,6059000000,12112000000,6476000000
2020-04-30,USD,32596000000,134622000000,102026000000,102026000000,5224000000,27372000000,None,27372000000,43000000,-549000000,43000000,592000000,133672000000,721000000,None,2791000000,5312000000,1322000000,592000000,4074000000,627000000,5224000000,8695000000,3990000000
2020-01-31,USD,33923000000,141671000000,107748000000,107748000000,5322000000,28601000000,None,21638000000,41000000,-611000000,264000000,875000000,140608000000,962000000,None,-7679000000,5520000000,1379000000,875000000,33923000000,3718000000,5322000000,-1284000000,4141000000
2019-10-31,USD,32091000000,127991000000,95900000000,95900000000,4718000000,27373000000,None,27500000000,44000000,-589000000,36000000,625000000,126981000000,244000000,None,2723000000,4340000000,1052000000,625000000,3288000000,2176000000,4718000000,7688000000,3288000000
2019-07-31,USD,32454000000,130377000000,97923000000,97923000000,5583000000,26871000000,None,26987000000,56000000,-585000000,48000000,633000000,129388000000,-85000000,None,2722000000,4843000000,1233000000,633000000,3610000000,3431000000,5583000000,8198000000,3610000000
2019-04-30,USD,30891000000,123925000000,93034000000,93034000000,4945000000,25946000000,None,28660000000,48000000,-625000000,48000000,673000000,122949000000,837000000,None,2714000000,5093000000,1251000000,673000000,3842000000,4293000000,4945000000,8480000000,3842000000
2019-01-31,USD,33886000000,138793000000,104907000000,104907000000,6067000000,27819000000,None,30554000000,64000000,-605000000,64000000,669000000,137743000000,202000000,None,2731000000,5538000000,1851000000,669000000,3687000000,3614000000,6067000000,8938000000,3687000000
2018-10-31,USD,31778000000,124894000000,93116000000,93116000000,4986000000,26792000000,None,26792000000,59000000,-534000000,59000000,593000000,123897000000,-1876000000,None,2615000000,2469000000,759000000,593000000,1710000000,2870000000,4986000000,5677000000,1710000000
2018-07-31,USD,32457000000,128028000000,95571000000,95571000000,5750000000,26707000000,None,26707000000,51000000,-503000000,51000000,554000000,0,-4849000000,None,2654000000,264000000,1125000000,554000000,-861000000,-3209000000,5750000000,3472000000,-861000000
2018-04-30,USD,30983000000,122690000000,91707000000,91707000000,5154000000,25829000000,None,28507000000,43000000,-487000000,43000000,530000000,121630000000,-1845000000,None,2678000000,2680000000,546000000,530000000,2134000000,3470000000,5154000000,5888000000,2134000000
2018-01-31,USD,33627000000,136267000000,102640000000,102640000000,4467000000,29160000000,None,34569000000,37000000,-499000000,37000000,536000000,135150000000,-1004000000,None,2702000000,2776000000,601000000,1540000000,2175000000,3127000000,4467000000,6014000000,2175000000
